,date,currency_source,currency,value
0,2023-01-01,USD,AED,3.672635
1,2023-01-01,USD,AFN,87.49408
2,2023-01-01,USD,ALL,107.150283
3,2023-01-01,USD,AMD,393.731324
4,2023-01-01,USD,ANG,1.802385
5,2023-01-01,USD,AOA,503.690999
6,2023-01-01,USD,ARS,176.728445
7,2023-01-01,USD,AUD,1.46638
8,2023-01-01,USD,AWG,1.8
9,2023-01-01,USD,AZN,1.700045
10,2023-01-01,USD,BAM,1.832031
11,2023-01-01,USD,BBD,2.019174
12,2023-01-01,USD,BDT,103.159191
13,2023-01-01,USD,BGN,1.827155
14,2023-01-01,USD,BHD,0.37658
15,2023-01-01,USD,BIF,2062.0
16,2023-01-01,USD,BMD,1.0
17,2023-01-01,USD,BND,1.34029
18,2023-01-01,USD,BOB,6.910305
19,2023-01-01,USD,BRL,5.286699
20,2023-01-01,USD,BSD,1.000033
21,2023-01-01,USD,BTC,6.0217375e-05
22,2023-01-01,USD,BTN,82.580068
23,2023-01-01,USD,BWP,12.755638
24,2023-01-01,USD,BYN,2.524225
25,2023-01-01,USD,BYR,19600.0
26,2023-01-01,USD,BZD,2.01584
27,2023-01-01,USD,CAD,1.353395
28,2023-01-01,USD,CDF,2029.99989
29,2023-01-01,USD,CHF,0.92395
30,2023-01-01,USD,CLF,0.03075
31,2023-01-01,USD,CLP,848.250029
32,2023-01-01,USD,CNY,6.897897
33,2023-01-01,USD,CNH,6.92034
34,2023-01-01,USD,COP,4848.67
35,2023-01-01,USD,CRC,591.730443
36,2023-01-01,USD,CUC,1.0
37,2023-01-01,USD,CUP,26.5
38,2023-01-01,USD,CVE,103.298862
39,2023-01-01,USD,CZK,22.52401
40,2023-01-01,USD,DJF,177.719972
41,2023-01-01,USD,DKK,6.949525
42,2023-01-01,USD,DOP,56.25032
43,2023-01-01,USD,DZD,137.17938
44,2023-01-01,USD,EGP,24.752919
45,2023-01-01,USD,ERN,15.0
46,2023-01-01,USD,ETB,53.649762
47,2023-01-01,USD,EUR,0.934185
48,2023-01-01,USD,FJD,2.222498
49,2023-01-01,USD,FKP,0.826337
50,2023-01-01,USD,GBP,0.826446
51,2023-01-01,USD,GEL,2.703721
52,2023-01-01,USD,GGP,0.826337
53,2023-01-01,USD,GHS,10.149612
54,2023-01-01,USD,GIP,0.826337
